$C$ FCC auto line data save
$C$ Version 1,2,7M UDP
$C$ Modify Time interval calculation
$H1$ Machine_ID;Barcode;Date;Time;Load cone tray number;Load cone tray position;Oil-Lub Amount;Oil-Lub Visual check;Axial Play Press Number;Axial Play;IPA-Flush Duration;IPA-Flush Visual Check;Galling Dent Visual Check;INT number;INT Cone Duration;INT Cone Visual Check;Oil Up number;Oil Up Amount;Oil Up duration;Oil Up Visual Check;Endcap Up tray number;Endcap Up tray position;Oil Low number;Oil Low Amount;Oil Low duration;Oil Low Visual Check;Endcap Low tray number;Endcap Low tray position;Unload Cycle Time;Failure Code;NG Carrier;Time interval
$H2$ Units;;;;;;mg;;;um;sec;;;;sec;;;mg;sec;;;;;mg;sec;;;;sec;;;sec
$H3$ Spec min;;;;1;1;0.6;;1;12;;;;1;;;1;7.74;;;1;1;1;7.74;;;1;1;;;
3;24X23004710101;2024-10-24;07:35:24;1;135;.46;2;1;14.3;1.50;2;2;2;1.20;2;2;8.14;3.636;3;1;33;1;8.10;5.153;3;1;29;7.46;;C95;6.5
3;24X23004740101;2024-10-24;07:35:30;1;136;.45;2;3;14.2;1.50;2;2;1;1.00;2;1;8.14;4.624;3;1;34;2;8.12;4.648;3;1;30;6.49;;C94;6.3
3;24X23004760101;2024-10-24;07:35:38;1;137;.47;2;2;14.8;1.50;2;2;2;1.20;2;2;8.14;3.631;3;1;35;1;8.12;5.155;3;1;31;6.34;;C93;7.2
3;24X23004660101;2024-10-24;07:35:44;1;138;.46;2;1;14.3;1.50;2;2;1;1.00;2;1;8.14;4.627;3;1;36;2;8.12;4.651;3;1;32;7.18;;C92;6.5
3;24X23004730101;2024-10-24;07:35:50;1;139;.45;2;3;15.2;1.50;2;2;2;1.20;2;2;8.14;3.635;3;1;37;1;8.11;5.151;3;1;33;6.54;;C91;6.3
3;24X23004750101;2024-10-24;07:35:59;1;140;.47;2;2;13.9;1.50;2;2;1;1.00;2;1;8.14;4.625;3;1;38;2;8.12;4.651;3;1;34;6.34;;C90;8.6
3;24X23004780101;2024-10-24;07:36:05;1;141;.47;2;1;13.4;1.50;2;2;2;1.20;2;2;8.14;3.628;3;1;39;1;8.11;5.158;3;1;35;8.57;;C89;6.4
3;24X23004650101;2024-10-24;07:36:12;1;142;.47;2;3;14.7;1.50;2;2;1;1.00;2;1;8.14;4.625;3;1;40;2;8.12;4.647;3;1;36;6.40;;C88;6.5
3;24X23004620101;2024-10-24;07:36:19;1;143;.47;2;2;13.8;1.50;2;2;2;1.20;2;2;8.15;3.637;3;1;41;1;8.11;5.158;3;1;37;6.49;;C87;7.5
3;24X23004770101;2024-10-24;07:36:26;1;144;.46;2;1;13.5;1.50;2;2;1;1.00;2;1;8.14;4.622;3;1;42;2;8.12;4.649;3;1;38;7.53;;C86;6.4
3;24X23004680101;2024-10-24;07:36:32;1;145;.46;2;3;14.1;1.50;2;2;2;1.20;2;2;8.15;3.629;3;1;43;1;8.10;5.161;3;1;39;6.38;;C85;6.6
3;24X23004790101;2024-10-24;07:36:40;1;146;.46;2;2;14.0;1.50;2;2;1;1.00;2;1;8.13;4.628;3;1;44;2;8.12;4.650;3;1;40;6.58;;C84;7.4
3;24X23004800101;2024-10-24;07:36:46;1;147;.47;2;1;13.5;1.50;2;2;2;1.20;2;2;8.15;3.637;3;1;45;1;8.11;5.159;3;1;41;7.40;;C83;6.5
